v,R_scaled,T_scaled,cl_C,cl_Mo,cl_Mn,cl_Si,cs_C,cs_Mo,cs_Mn,cs_Si,R,T,DT
0.2711000000000001,0.013955070752164019,0.9860908738530594,0.022152528303061216,0.015315037402895196,0.004955752967877975,0.005638294624540186,0.00751709896721783,0.009553763615739974,0.003955795278729513,0.0039349059804495165,1.3955070752164017e-08,1741.219543232255,24.56045676774488
0.2811000000000001,0.013609961058410343,0.98584087662164,0.022176129154926952,0.01532089633753257,0.00495625106724172,0.0056398038430226435,0.00755705283867395,0.009574412563563405,0.003960123206819867,0.003941330937798093,1.3609961058410341e-08,1740.7781031209595,25.001896879040487
0.29110000000000014,0.01328401139342761,0.9855942385953486,0.02219796854370485,0.015326111434289027,0.004956657506932072,0.005641149002787939,0.007596421625451513,0.009594680211465683,0.003964344215229496,0.003947600522393285,1.3284011393427609e-08,1740.3425946268947,25.43740537310532
0.30110000000000015,0.012975590583504788,0.9853507979437182,0.022218166657404007,0.01533072957858506,0.004956979588136765,0.005642342628445908,0.007635239975510515,0.009614588211220482,0.003968464784638029,0.003953724278234162,1.2975590583504788e-08,1739.9127319930585,25.86726800694146
0.31110000000000015,0.012683253180056584,0.9851104073987906,0.02223683239949597,0.015334793181382462,0.004957223882148048,0.005643396004717751,0.007673539168970372,0.00963415614628011,0.0039724907805079,0.003959710843368584,1.2683253180056584e-08,1739.4882551766366,26.291744823363388
0.32110000000000016,0.012405713116089115,0.9848729324892556,0.022254064711554954,0.015338340708939526,0.004957396319460931,0.005644319326865439,0.007711347515264205,0.009653401779732547,0.00397642752716918,0.003965568058376221,1.2405713116089114e-08,1739.0689267308776,26.71107326912238
0.33110000000000017,0.012141821936487947,0.9846382500345922,0.02226995376716902,0.015341407158165857,0.004957502268942087,0.005645121834789121,0.00774869071501249,0.009672341277021651,0.003980279873766188,0.003971303063302543,1.2141821936487946e-08,1738.654529146082,27.125470853917932
0.3411000000000002,0.01189055033628687,0.9844062468428127,0.022284581810172614,0.015344024396245918,0.004957546595603681,0.005645811909963688,0.007785592101616302,0.009690989363071513,0.00398405224237782,0.003976922367534818,1.189055033628687e-08,1738.244862550102,27.535137449898002
0.3511000000000002,0.011650972987831633,0.984176818614336,0.022298024631938466,0.015346221728245896,0.0049575337501647585,0.005646397230461889,0.007822073129877392,0.009709359593061384,0.003987748702896694,0.003982431962892967,1.1650972987831633e-08,1737.8397427728223,27.940257227177653
0.3611000000000002,0.011422255123924101,0.9839498689457382,0.022310351119750542,0.015348025757381149,0.004957467754739004,0.005646884740260235,0.00785815315483772,0.009727464275160027,0.003991372960807681,0.00398783729981013,1.1422255123924101e-08,1737.4389995870056,28.34100041299439
0.3711000000000002,0.011203641919382095,0.9837253085364666,0.02232162513826077,0.015349461092178088,0.004957352310630369,0.005647280838595071,0.007893850085603851,0.009745314812099599,0.003994928447497052,0.0039931434262045875,1.1203641919382095e-08,1737.042475307522,28.73752469247802
0.3811000000000002,0.010994448514207921,0.9835030544088172,0.022331905396036977,0.015350550316383011,0.004957190798252525,0.005647591376149495,0.007929180295319532,0.009762921679883404,0.003998418320201399,0.003998354984001367,1.099444851420792e-08,1736.6500234140012,29.129976585998747
0.3911000000000002,0.010794052187252781,0.9832830292987883,0.022341246152662034,0.015351314262775374,0.004956986320606608,0.005647821729912313,0.007964158848405725,0.009780294556649308,0.004001845498299689,0.004003476263670745,1.079405218725278e-08,1736.2615074752143,29.518492524785643
0.40110000000000023,0.010601885311126808,0.9830651610952199,0.022349697639032842,0.015351772180196899,0.0049567417306502215,0.00564797684963562,0.007998799625892153,0.009797442400067916,0.0040052126863895105,0.004008511238119914,1.0601885311126808e-08,1735.8768001587173,29.903199841282685
0.41110000000000024,0.010417429064527962,0.9828493823122431,0.02235730638357538,0.015351941864832967,0.004956459653109277,0.005648061294536623,0.00803311541849218,0.009814373507106717,0.004008522392526301,0.004013463589330998,1.0417429064527962e-08,1735.4957822993126,30.28421770068735
0.42110000000000025,0.010240208394889793,0.9826356296834048,0.022364115616243616,0.015351839818007664,0.004956142509679498,0.005648079276517514,0.008067118052779076,0.009831095587697177,0.004011776949460112,0.004018336739986425,1.0240208394889794e-08,1735.1183421823625,30.661657817637433
0.43110000000000026,0.010069787372129595,0.9824238437691588,0.022370165556342837,0.01535148136055052,0.004955792537671046,0.0056480346917741195,0.008100818476332554,0.009847615817127977,0.00401497853024847,0.004023133876481128,1.0069787372129594e-08,1734.7443748507053,31.035625149294674
0.44110000000000027,0.009905764953777457,0.98221396857019,0.022375493632037526,0.01535088072116366,0.0049554118045619985,0.0056479311453123855,0.008134226818906137,0.009863940876011666,0.004018129160620238,0.004027857966896735,9.905764953777457e-09,1734.3737814218703,31.40621857812971
0.4511000000000003,0.00974777179683097,0.9820059512800376,0.022380134771690856,0.01535005114990212,0.00495500222601322,0.005647771981865798,0.008167352484339354,0.00988007700311818,0.004021230734045774,0.004032511783569006,9.74777179683097e-09,1734.0064686512649,31.773531348735105
0.4611000000000003,0.00959546707021354,0.9817997420015856,0.022384121689342635,0.015349005028261673,0.004954565583079023,0.005647560315678499,0.008200204242228594,0.009896030047144344,0.004024285026360589,0.004037097925038991,9.59546707021354e-09,1733.6423484315599,32.137651568440106
0.4711000000000003,0.00944853526454105,0.9815952933959948,0.022387484800095708,0.015347753845385047,0.004954103520060151,0.005647299025201613,0.008232790177235516,0.009911805451033482,0.004027293693962276,0.004041618811978392,9.44853526454105e-09,1733.2813371727798,32.49866282722019
0.4811000000000003,0.009306684572708359,0.98139256064115,0.022390252777571618,0.015346308404683224,0.004953617575285841,0.005646990807831291,0.00826511789113787,0.009927408353174348,0.0040302582997887755,0.004046076727583815,9.306684572708359e-09,1732.92335572893,32.85664427107008
0.4911000000000003,0.009169644018252012,0.9811915010676207,0.02239245239923046,0.015344678773470418,0.004953109174849037,0.005646638167396866,0.008297194427535874,0.009942843558813455,0.00403318030807665,0.004050473808246565,9.169644018252011e-09,1732.568328755183,33.2116712448169
